epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.68726814,0.5307567,0.36805698,1.3367034278904335,0.7031965255737305,0.599953830242157,0.4292776584625244,1.1578733921051025
1,0.69568527,0.5759184,0.40551424,1.1773991086814977,0.704754650592804,0.5887860059738159,0.41818615794181824,1.1482830047607422
2,0.6956075,0.57730585,0.4068015,1.1560231054885477,0.7042571306228638,0.5972192883491516,0.42651858925819397,1.033905029296875
3,0.6956302,0.5799066,0.4093625,1.1364137846269184,0.7040859460830688,0.6020370125770569,0.4314775764942169,1.0800577402114868
4,0.6956112,0.58080286,0.41035065,1.122592465032505,0.7041720747947693,0.5879176259040833,0.41719314455986023,1.3861734867095947
5,0.69567263,0.5856775,0.4150255,1.088475188782698,0.7040370106697083,0.5752766132354736,0.40467941761016846,0.9979759454727173
6,0.69569516,0.59492385,0.42430285,1.048944248711761,0.7035619020462036,0.6311412453651428,0.4621482193470001,1.1367243528366089
7,0.69561946,0.60775423,0.43744957,1.0058845149565347,0.7035321593284607,0.6239672303199768,0.4543910622596741,0.85511314868927
8,0.69562167,0.6156128,0.44568875,0.9698434830466404,0.7037872076034546,0.5971459746360779,0.42674046754837036,0.9605084657669067
9,0.6956659,0.6235072,0.45403922,0.9377529523983786,0.7037307024002075,0.6245574951171875,0.4550100862979889,0.9892976880073547
10,0.69618845,0.6324084,0.46343425,0.9019382792183116,0.7081661820411682,0.6454702615737915,0.47731664776802063,0.6895220279693604
11,0.7302454,0.6426479,0.47438392,0.8674831855334814,0.7450067400932312,0.6545156240463257,0.4875347316265106,0.7872710227966309
12,0.75390124,0.65866846,0.49221078,0.8133295662229574,0.7566400170326233,0.6710533499717712,0.5061930418014526,0.6367976069450378
13,0.7663914,0.67518187,0.5108061,0.7676388354901271,0.7594143152236938,0.6826058626174927,0.5192475914955139,0.9789546728134155
14,0.7782614,0.69175756,0.5297599,0.7228933788741692,0.7551104426383972,0.6560073494911194,0.48911434412002563,0.770789623260498
15,0.7895774,0.7089431,0.55017614,0.676041691505079,0.7651062607765198,0.6605497598648071,0.4942334294319153,0.7732331156730652
16,0.8032926,0.7256206,0.57058054,0.6227491805919364,0.7742042541503906,0.7004571557044983,0.5399882793426514,0.49522286653518677
17,0.8158897,0.7393954,0.58764726,0.5751920964427387,0.7770195007324219,0.7175903916358948,0.5609040260314941,0.7908127903938293
18,0.8304932,0.75759536,0.61084247,0.5253421558609491,0.7793506979942322,0.7126269340515137,0.554725706577301,0.7962791323661804
19,0.8450128,0.77613616,0.63512546,0.4752320455788057,0.7736115455627441,0.7097573280334473,0.5513659715652466,0.7540181279182434
20,0.86096305,0.7950204,0.6606904,0.42396825882075706,0.7814603447914124,0.7313295006752014,0.5775368213653564,0.6329180598258972
21,0.8743597,0.81371886,0.6868595,0.38178332418769223,0.7714630961418152,0.7260221838951111,0.5709250569343567,0.9329057931900024
22,0.8871309,0.83170086,0.7127046,0.3410759968093679,0.7717524170875549,0.7323647737503052,0.5788072347640991,1.0356242656707764
23,0.89960706,0.84879553,0.73800474,0.30129041296394565,0.7721084356307983,0.7279595136642456,0.5735849142074585,0.8599051237106323
24,0.90999454,0.864383,0.7617944,0.2686967082746044,0.7739394903182983,0.7424825429916382,0.59157794713974,0.880886435508728
25,0.91902065,0.8771425,0.7817454,0.2410105474976988,0.7697976231575012,0.739772617816925,0.5884185433387756,0.9968865513801575
26,0.9244256,0.88698184,0.7974377,0.22235512501218274,0.7763962745666504,0.7564124464988708,0.6099829077720642,1.0575990676879883
27,0.9312119,0.89724046,0.81411576,0.20039775427666645,0.7733268737792969,0.7472583055496216,0.5979071259498596,1.001786231994629
28,0.93418264,0.9022685,0.8223259,0.1909920649390809,0.7687740325927734,0.7453552484512329,0.595355749130249,0.9994900822639465
29,0.93705165,0.9070757,0.8304031,0.1820577262323114,0.7752049565315247,0.7534242272377014,0.6056796312332153,1.2196398973464966
30,0.93962526,0.91182727,0.8383485,0.17373522493658186,0.7803255915641785,0.7629196047782898,0.6190455555915833,0.8464319109916687
31,0.94319916,0.9171189,0.8472851,0.16268870097738278,0.772584080696106,0.7557995915412903,0.6090871095657349,1.181964635848999
32,0.94646114,0.9217599,0.8552052,0.15336310416695814,0.7721002697944641,0.7551347613334656,0.6083344221115112,1.1167439222335815
33,0.9501984,0.9271483,0.8644548,0.1402647129106748,0.7785063982009888,0.7656182646751404,0.621494710445404,1.2199233770370483
34,0.95305425,0.93144333,0.8719319,0.13135321823809343,0.7789211273193359,0.7656207084655762,0.6216440796852112,1.4210751056671143
35,0.9513665,0.92988586,0.8692982,0.13721235099991289,0.7823261022567749,0.7695518136024475,0.6269846558570862,1.0328686237335205
36,0.95509577,0.93532735,0.8787264,0.1252556142951303,0.7796327471733093,0.7675354480743408,0.6239720582962036,1.4691383838653564
37,0.9589009,0.94076306,0.8883485,0.11318145575048992,0.7838175892829895,0.7734778523445129,0.6322048306465149,1.5502263307571411
38,0.95385474,0.934638,0.8775778,0.1285747877157093,0.7765799164772034,0.7641962170600891,0.6197709441184998,1.1400610208511353
39,0.9537718,0.93404,0.87668294,0.13004031336477287,0.7865910530090332,0.7771570682525635,0.6367645263671875,1.1380414962768555
40,0.9613536,0.9449969,0.89593166,0.10590148832106704,0.7797625660896301,0.7689464092254639,0.6258223056793213,1.2708590030670166
41,0.96443313,0.949358,0.9037432,0.0960152812148857,0.7798040509223938,0.7698230743408203,0.6269429922103882,1.536399483680725
42,0.9606675,0.94423103,0.894549,0.10765176904800383,0.7771124243736267,0.7677016258239746,0.6244276165962219,1.6233898401260376
43,0.9616036,0.9455853,0.8970131,0.10514390041250028,0.7721363306045532,0.7603499293327332,0.6148563623428345,1.3616466522216797
44,0.96111536,0.9451513,0.8962127,0.10642614742575944,0.7845302224159241,0.7760950326919556,0.6361008286476135,1.332857608795166
45,0.96683806,0.9531332,0.9105991,0.08889959726624097,0.7870466709136963,0.7796593904495239,0.6406776309013367,1.0986465215682983
46,0.9688929,0.95584404,0.91555613,0.08275717565836975,0.7792290449142456,0.7699486613273621,0.6274098753929138,1.0550686120986938
47,0.96404743,0.94933414,0.90386087,0.09830979948061742,0.7750799655914307,0.7635841965675354,0.6188002228736877,1.253791093826294
48,0.9588273,0.94242287,0.8913984,0.11460583662920737,0.779985249042511,0.7697978615760803,0.6272953152656555,1.0388600826263428
49,0.96811277,0.9552424,0.9144617,0.08496306316714876,0.7874124646186829,0.7810199856758118,0.6420651078224182,1.0977118015289307
50,0.9724251,0.96081513,0.9246831,0.07180464960033475,0.787460446357727,0.7803882360458374,0.6415038108825684,0.8412644267082214
51,0.97095007,0.958893,0.92115515,0.07623466871725985,0.783627986907959,0.7777864336967468,0.6376959681510925,1.1775877475738525
52,0.9639086,0.9493689,0.90422654,0.09885663632892921,0.7758897542953491,0.7656816244125366,0.6218307018280029,1.5630438327789307
53,0.9669982,0.9539222,0.91204274,0.0886168460644593,0.7816544771194458,0.7741042375564575,0.6329568028450012,0.9266761541366577
54,0.97274953,0.9617699,0.92644733,0.07091180531048699,0.7887369990348816,0.7820693850517273,0.6439346671104431,1.7040374279022217
